ciudad,semana_inicio,ventas_eur,unidades,margen_eur,inv_display,inv_email_crm,inv_exterior,inv_paid_search,inv_prensa,inv_radio_local,inv_social_paid,inv_video_online,inv_total,sesiones_web,visitas_tienda,pedidos_online,pedidos_tienda,pedidos_click_collect,tasa_conversion_web_media,tasa_conversion_tienda_media,dias_rebajas,dias_black_friday,dias_navidad,dias_semana_santa,dias_payday,dias_festivo,dias_vacaciones_escolares,dias_incidencia_ecommerce,temperatura_media,lluvia_media,turismo_indice_medio,anio,semana_iso
A Coruna,2020-01-06,0.0,0.0,0.0,581.95,948.84,2035.84,1467.96,781.85,1200.34,1917.33,1641.78,10575.890000000001,496,175,20.0,36.0,6.0,0.05141428571428571,0.2048142857142857,6,0,0,0,0,0,0,0,8.457142857142857,82.0,22.25714285714286,2020,2
A Coruna,2020-01-13,0.0,0.0,0.0,439.07,784.27,1455.77,2233.14,718.7,1603.63,2142.13,1192.87,10569.579999999998,631,152,28.0,32.0,7.0,0.05562857142857142,0.2074,7,0,0,0,0,0,0,0,9.985714285714286,80.55714285714285,17.97142857142857,2020,3
A Coruna,2020-01-20,0.0,0.0,0.0,659.1,307.21,969.03,2376.3,651.94,1169.35,2360.55,1285.66,9779.14,605,193,28.0,41.0,5.0,0.054028571428571426,0.21725714285714284,7,0,0,0,2,0,0,0,10.528571428571428,71.38571428571429,20.457142857142856,2020,4
A Coruna,2020-01-27,0.0,0.0,0.0,1428.08,302.43,1071.82,2417.99,1036.54,948.93,1426.4,873.33,9505.52,565,181,20.0,39.0,15.0,0.061842857142857144,0.21592857142857144,7,0,0,0,6,0,0,0,10.328571428571427,88.17142857142858,27.771428571428572,2020,5
A Coruna,2020-02-03,0.0,0.0,0.0,729.33,696.41,1410.22,1581.9,762.51,1155.44,2066.4,1214.68,9616.890000000001,524,175,23.0,37.0,7.0,0.057,0.2125857142857143,7,0,0,0,3,0,0,0,8.614285714285714,78.62857142857142,22.071428571428573,2020,6
A Coruna,2020-02-10,0.0,0.0,0.0,478.76,630.04,565.89,1284.87,835.49,1279.76,1772.01,1187.95,8034.77,698,127,15.0,25.0,9.0,0.03492857142857143,0.19454285714285713,1,0,0,0,0,0,0,0,12.014285714285714,73.41428571428571,17.37142857142857,2020,7
A Coruna,2020-02-17,0.0,0.0,0.0,823.29,416.88,1422.1,3585.76,506.28,502.05,1315.82,1157.91,9730.09,846,161,20.0,30.0,11.0,0.03655714285714286,0.18925714285714285,0,0,0,0,0,0,0,0,12.342857142857143,83.35714285714286,19.185714285714287,2020,8
A Coruna,2020-02-24,0.0,0.0,0.0,514.71,144.24,1738.45,1465.26,839.61,1015.55,1491.44,1120.97,8330.23,708,176,22.0,34.0,5.0,0.03838571428571429,0.19787142857142856,0,0,0,0,6,0,0,0,13.1,75.81428571428572,28.771428571428572,2020,9
A Coruna,2020-03-02,0.0,0.0,0.0,1434.08,335.18,2060.62,1314.99,381.1,727.43,835.4,835.35,7924.150000000001,700,119,19.0,22.0,8.0,0.03781428571428571,0.18945714285714285,0,0,0,0,4,0,0,0,13.528571428571428,76.7,14.014285714285714,2020,10
A Coruna,2020-03-09,0.0,0.0,0.0,871.74,536.82,1271.44,2045.51,1129.96,645.54,1641.06,1811.22,9953.289999999999,962,119,25.0,23.0,10.0,0.03634285714285714,0.1924857142857143,0,0,0,0,0,0,0,1,15.5,73.58571428571429,31.585714285714285,2020,11
A Coruna,2020-03-16,0.0,0.0,0.0,468.4,559.66,920.96,2206.7,1452.14,638.75,1120.38,1098.25,8465.24,688,143,17.0,29.0,7.0,0.03382857142857143,0.2003857142857143,0,0,0,0,0,0,0,7,15.971428571428573,68.81428571428572,22.042857142857144,2020,12
A Coruna,2020-03-23,0.0,0.0,0.0,1004.0,681.99,1794.64,1324.33,800.14,996.5,1489.63,1290.41,9381.640000000001,763,107,17.0,21.0,11.0,0.0371,0.19901428571428573,0,0,0,0,5,0,0,7,15.642857142857142,62.285714285714285,19.52857142857143,2020,13
A Coruna,2020-03-30,0.0,0.0,0.0,836.65,168.65,1047.18,1487.87,456.44,1799.7,1748.7,1190.98,8736.17,622,132,15.0,27.0,7.0,0.035885714285714285,0.20260000000000003,0,0,0,1,6,0,1,7,17.04285714285714,68.31428571428572,21.614285714285717,2020,14
A Coruna,2020-04-06,0.0,0.0,0.0,769.71,503.57,1704.7,1405.49,686.11,884.32,1135.3,709.02,7798.219999999999,1074,166,27.0,32.0,10.0,0.03487142857142857,0.19465714285714286,0,0,0,7,0,0,7,7,17.87142857142857,69.52857142857142,22.342857142857145,2020,15
A Coruna,2020-04-13,0.0,0.0,0.0,551.16,325.26,845.69,1895.62,750.25,1150.38,1235.72,968.36,7722.44,850,149,17.0,30.0,7.0,0.03174285714285714,0.19974285714285717,0,0,0,0,0,0,0,7,18.885714285714283,56.67142857142857,22.342857142857145,2020,16
A Coruna,2020-04-20,0.0,0.0,0.0,553.6,224.37,1604.94,1899.02,856.57,535.87,1278.07,1832.31,8784.75,724,130,17.0,27.0,7.0,0.03381428571428571,0.208,0,0,0,0,2,0,0,7,19.428571428571427,53.91428571428571,23.214285714285715,2020,17
A Coruna,2020-04-27,0.0,0.0,0.0,603.14,365.39,808.94,1700.13,773.98,1412.47,1321.82,1008.22,7994.09,889,135,23.0,28.0,10.0,0.03735714285714286,0.20644285714285715,0,0,0,0,7,0,0,7,20.342857142857145,56.385714285714286,16.514285714285712,2020,18
A Coruna,2020-05-04,0.0,0.0,0.0,840.1,493.8,852.09,1475.07,606.28,1339.98,1957.3,631.67,8196.289999999999,901,137,20.0,29.0,8.0,0.031085714285714282,0.21252857142857143,0,0,0,0,2,0,0,7,20.085714285714285,40.91428571428571,22.957142857142856,2020,19
A Coruna,2020-05-11,0.0,0.0,0.0,590.93,96.28,1182.89,2563.35,461.22,1016.29,1657.16,1156.87,8724.99,906,109,21.0,22.0,8.0,0.03145714285714286,0.2077857142857143,0,0,0,0,0,0,0,7,19.47142857142857,51.971428571428575,28.67142857142857,2020,20
A Coruna,2020-05-18,0.0,0.0,0.0,671.13,198.47,1437.38,1636.02,434.02,553.12,803.4,1416.37,7149.91,947,114,18.0,24.0,11.0,0.030799999999999998,0.20791428571428572,0,0,0,0,0,0,0,7,20.185714285714287,45.32857142857143,20.2,2020,21
A Coruna,2020-05-25,0.0,0.0,0.0,833.95,776.22,996.2,1605.41,681.36,771.99,838.26,685.77,7189.16,506,145,8.0,30.0,8.0,0.03268571428571428,0.21394285714285716,0,0,0,0,6,0,0,7,20.842857142857145,44.385714285714286,16.62857142857143,2020,22
A Coruna,2020-06-01,0.0,0.0,0.0,1172.94,238.13,1076.29,1454.08,774.99,801.36,1448.49,1135.24,8101.5199999999995,817,95,23.0,22.0,4.0,0.03302857142857143,0.22905714285714285,0,0,0,0,5,0,0,7,20.2,39.142857142857146,68.6,2020,23
A Coruna,2020-06-08,0.0,0.0,0.0,764.68,239.54,1271.89,1072.7,471.45,966.14,1089.16,1120.58,6996.14,522,125,11.0,29.0,4.0,0.02864285714285714,0.23172857142857145,0,0,0,0,0,0,0,7,23.24285714285714,39.285714285714285,70.84285714285714,2020,24
