ciudad,semana_inicio,ventas_eur,unidades,margen_eur,inv_display,inv_email_crm,inv_exterior,inv_paid_search,inv_prensa,inv_radio_local,inv_social_paid,inv_video_online,inv_total,sesiones_web,visitas_tienda,pedidos_online,pedidos_tienda,pedidos_click_collect,tasa_conversion_web_media,tasa_conversion_tienda_media,dias_rebajas,dias_black_friday,dias_navidad,dias_semana_santa,dias_payday,dias_festivo,dias_vacaciones_escolares,dias_incidencia_ecommerce,temperatura_media,lluvia_media,turismo_indice_medio,anio,semana_iso,inv_paid_search_lagged,inv_social_paid_lagged,inv_display_lagged,inv_video_online_lagged,inv_email_crm_lagged,inv_exterior_lagged,inv_radio_local_lagged,inv_prensa_lagged,inv_paid_search_adstock,inv_social_paid_adstock,inv_display_adstock,inv_video_online_adstock,inv_email_crm_adstock,inv_exterior_adstock,inv_radio_local_adstock,inv_prensa_adstock,inv_paid_search_transformed,inv_social_paid_transformed,inv_display_transformed,inv_video_online_transformed,inv_email_crm_transformed,inv_exterior_transformed,inv_radio_local_transformed,inv_prensa_transformed,trend,trend_idx_raw,log_trend,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,flag_rebajas,flag_black_friday,flag_navidad,flag_semana_santa,flag_payday,flag_festivo,flag_vacaciones_escolares,flag_incidencia_ecommerce,temperatura_media_z,lluvia_media_z,turismo_indice_medio_z,ciudad_a_coruna,ciudad_bilbao,ciudad_madrid,ciudad_malaga,ciudad_murcia,ciudad_palma,ciudad_sevilla,ciudad_valencia,ciudad_zaragoza,log_ventas_eur,split
A Coruna,2020-01-06,0.0,0.0,0.0,581.95,948.84,2035.84,1467.96,781.85,1200.34,1917.33,1641.78,10575.89,496,175,20.0,36.0,6.0,0.0514142857142857,0.2048142857142857,6,0,0,0,0,0,0,0,8.457142857142857,82.0,22.25714285714286,2020,2,1467.96,0.0,0.0,0.0,948.84,0.0,0.0,0.0,1467.96,0.0,0.0,0.0,948.84,0.0,0.0,0.0,0.030811994870204647,0.0,0.0,0.0,0.32125050118359655,0.0,0.0,0.0,0.0,1,0.0,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,0.6631226582407952,0.7485107481711011,1,0,0,0,0,0,0,0,-1.340437571523758,2.801961801121027,-0.7555246895943046,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-01-13,0.0,0.0,0.0,439.07,784.27,1455.77,2233.14,718.7,1603.63,2142.13,1192.87,10569.579999999998,631,152,28.0,32.0,7.0,0.0556285714285714,0.2074,7,0,0,0,0,0,0,0,9.985714285714286,80.55714285714285,17.97142857142857,2020,3,2233.14,1917.33,581.95,1641.78,784.27,0.0,1200.34,0.0,2967.12,1917.33,581.95,1641.78,1116.364,0.0,1200.34,0.0,0.11495290375519361,0.05409797891550002,0.01873309137635277,0.040615771778931796,0.39583573721840376,0.0,0.03987320348707517,0.0,0.0038461538461538464,2,0.1245654845020948,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,0.8854560256532099,0.4647231720437686,1,0,0,0,0,0,0,0,-1.1058241463682166,2.69399438695116,-0.9449901984006228,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-01-20,0.0,0.0,0.0,659.1,307.21,969.03,2376.3,651.94,1169.35,2360.55,1285.66,9779.14,605,193,28.0,41.0,5.0,0.0540285714285714,0.2172571428571428,7,0,0,0,2,0,0,0,10.528571428571428,71.38571428571429,20.457142857142856,2020,4,2376.3,2142.13,439.07,1192.87,307.21,2035.84,1603.63,781.85,3859.86,3292.5280000000002,817.3375000000001,2260.027,697.9374,2035.84,2383.851,781.85,0.1801930526262169,0.1443157252889781,0.03629106304184103,0.07426531143914541,0.2038744590731378,0.04357579555877077,0.1407425737871157,0.029969527257548947,0.007692307692307693,3,0.19743162181998264,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,0.992708874098054,0.120536680255323,1,0,0,0,1,0,0,0,-1.022503490705501,2.0077064671783424,-0.8351002032929584,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-01-27,0.0,0.0,0.0,1428.08,302.43,1071.82,2417.99,1036.54,948.93,1426.4,873.33,9505.52,565,181,20.0,39.0,15.0,0.0618428571428571,0.2159285714285714,7,0,0,0,6,0,0,0,10.328571428571427,88.17142857142858,27.77142857142857,2020,5,2417.99,2360.55,659.1,1285.66,302.43,1455.77,1169.35,718.7,4347.92,4336.0668000000005,1190.3693750000002,2754.6775500000003,546.70809,2982.6499999999996,2718.85315,1187.81,0.21807721824835574,0.22630851592986648,0.07396745771961659,0.10649095161460079,0.13579292431798187,0.08908226028845448,0.17564298904528217,0.06656210049389875,0.011538461538461539,4,0.2491309690041896,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,0.9709418174260521,-0.2393156642875575,1,0,0,0,1,0,0,0,-1.0532005743707122,3.2637630181644193,-0.5117457349301755,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-02-03,0.0,0.0,0.0,729.33,696.41,1410.22,1581.9,762.51,1155.44,2066.4,1214.68,9616.89,524,175,23.0,37.0,7.0,0.057,0.2125857142857143,7,0,0,0,3,0,0,0,8.614285714285714,78.62857142857142,22.071428571428573,2020,6,1581.9,1426.4,1428.08,873.33,696.41,969.03,948.93,651.94,3755.86,4028.04008,2201.82009375,2663.8704075000005,887.7578315,3206.0175,2716.1845475,1364.626,0.17226381955837625,0.2015476436337304,0.2146294166137798,0.10027822373432109,0.29294712452761806,0.10151917303119615,0.17535879773389804,0.08602220339761994,0.015384615384615385,5,0.28923209811867023,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,0.8229838658936565,-0.5680647467311557,1,0,0,0,1,0,0,0,-1.316318434358235,2.5496815066250997,-0.7637348616425784,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-02-10,0.0,0.0,0.0,478.76,630.04,565.89,1284.87,835.49,1279.76,1772.01,1187.95,8034.77,698,127,15.0,25.0,9.0,0.0349285714285714,0.1945428571428571,1,0,0,0,0,0,0,0,12.014285714285714,73.41428571428571,17.37142857142857,2020,7,1284.87,2066.4,729.33,1214.68,630.04,1071.82,1155.44,1036.54,3162.8,4483.224048,2160.5130609375,2946.1957648750004,940.7552410249999,3476.333125,2920.959955875,1855.3156,0.12860087473308268,0.23820887862043588,0.20831371601159795,0.11997491901275524,0.31753020822060773,0.11726790603386673,0.197380736875275,0.148192052798977,0.019230769230769232,6,0.3219971063220774,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288,0.5680647467311558,-0.8229838658936564,1,0,0,0,0,0,0,0,-0.7944680120496477,2.159502237595383,-0.9715153696335075,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-02-17,0.0,0.0,0.0,823.29,416.88,1422.1,3585.76,506.28,502.05,1315.82,1157.91,9730.09,846,161,20.0,30.0,11.0,0.0365571428571428,0.1892571428571428,0,0,0,0,0,0,0,0,12.342857142857143,83.35714285714286,19.185714285714287,2020,8,3585.76,1772.01,478.76,1187.95,416.88,1410.22,1279.76,762.51,5167.16,4461.9444287999995,1883.0934896093752,3102.97724716875,746.14433435875,4017.46984375,3178.38397131875,1875.6993599999998,0.28258897232917085,0.23648643032150463,0.16659143729700485,0.1313615975836301,0.2264137328907173,0.15068838979620694,0.22551270025243617,0.1509719111556015,0.023076923076923078,7,0.3496995260354461,0.8229838658936564,0.5680647467311559,0.9350162426854148,-0.35460488704253545,0.23931566428755768,-0.970941817426052,0,0,0,0,0,0,0,0,-0.7440370888853723,2.9035153094986255,-0.8913083042388327,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-02-24,0.0,0.0,0.0,514.71,144.24,1738.45,1465.26,839.61,1015.55,1491.44,1120.97,8330.23,708,176,22.0,34.0,5.0,0.0383857142857142,0.1978714285714285,0,0,0,0,6,0,0,0,13.1,75.81428571428572,28.77142857142857,2020,9,1465.26,1315.82,823.29,1157.91,144.24,565.89,502.05,835.49,4048.84,3992.9866572799992,2047.3007682460939,3174.845210659688,405.39051702556253,3578.9923828124997,2567.9995813571877,1960.909616,0.19474921990372454,0.19874918405996825,0.191117227979678,0.13667569577110655,0.07952564266291366,0.1234287300700948,0.15971956839384446,0.16271766858500342,0.026923076923076925,8,0.3736964535062844,0.8854560256532099,0.4647231720437686,0.8229838658936565,-0.5680647467311557,-0.12053668025532283,-0.992708874098054,0,0,0,0,1,0,0,0,-0.6278267007242165,2.3390915997789246,-0.46753711620870125,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-03-02,0.0,0.0,0.0,1434.08,335.18,2060.62,1314.99,381.1,727.43,835.4,835.35,7924.150000000001,700,119,19.0,22.0,8.0,0.0378142857142857,0.1894571428571428,0,0,0,0,4,0,0,0,13.528571428571428,76.7,14.014285714285714,2020,10,1314.99,1491.44,514.71,1120.97,335.18,1422.1,1015.55,506.28,3339.41,3887.2319943679995,1845.455499359961,3184.619386928797,477.0666809589469,4106.344287109375,2684.749727882172,1682.8257695999998,0.1412782460124569,0.190338116445547,0.16106040899960467,0.13740273020632665,0.10686238754163382,0.1563750961737864,0.1720175397247782,0.12520766354765747,0.03076923076923077,9,0.3948632436399653,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012,-0.46472317204376806,-0.8854560256532101,0,0,0,0,1,0,0,0,-0.5620472357273357,2.405368626299041,-1.1199300181984566,1,0,0,0,0,0,0,0,0,0.0,train
A Coruna,2020-03-09,0.0,0.0,0.0,871.74,536.82,1271.44,2045.51,1129.96,645.54,1641.06,1811.22,9953.29,962,119,25.0,23.0,10.0,0.0363428571428571,0.1924857142857143,0,0,0,0,0,0,0,1,15.5,73.58571428571429,31.585714285714285,2020,11,2045.51,835.4,1434.08,835.35,536.82,1738.45,727.43,839.61,3715.215,3167.7391966207997,2633.6260745839745,2905.3526015037182,703.7933383356315,4818.208215332031,2472.5173231234116,1849.3054617599998,0.16918296712436487,0.13503289534058632,0.2810845601779751,0.11705823423522389,0.20660019050940526,0.20331344370252005,0.14980937106904713,0.14737476360399454,0.03461538461538462,10,0.4137975826207651,0.970941817426052,0.23931566428755804,0.46472317204376906,-0.8854560256532096,-0.7485107481711011,-0.6631226582407952,0,0,0,0,0,0,0,1,-0.25946169674168423,2.172330049179922,-0.3431214320925522,1,0,0,0,0,0,0,0,0,0.0,train
